frame,decision,left_status,right_status,detections
326,path clear,near,far,"microwave:0.81:575,324,819,464;oven:0.81:93,335,571,1053"
327,path clear,near,far,"microwave:0.86:573,322,809,467;oven:0.81:84,343,571,1058"
328,path clear,near,far,"microwave:0.88:573,332,803,468;oven:0.81:61,346,564,1063"
329,path clear,near,far,"microwave:0.87:565,333,799,471;oven:0.79:37,346,560,1065"
330,path clear,near,far,"microwave:0.87:565,337,800,475;oven:0.79:23,349,555,1069;sink:0.48:3,611,224,740"
331,path clear,near,far,"microwave:0.80:563,339,790,477;oven:0.76:50,359,547,1078;sink:0.49:3,619,216,739"
332,path clear,near,near,"microwave:0.84:553,340,787,479;oven:0.79:13,353,551,1080;sink:0.54:2,608,213,740;refrigerator:0.50:791,2,1076,894"
333,path clear,near,near,"microwave:0.85:544,342,781,479;oven:0.78:18,353,544,1091;refrigerator:0.61:788,0,1077,899;sink:0.44:1,633,189,738"
334,path clear,near,near,"microwave:0.84:540,344,776,480;oven:0.73:10,357,541,1094;refrigerator:0.54:786,0,1077,903;sink:0.50:2,636,184,737"
335,path clear,near,far,"microwave:0.84:540,346,773,480;oven:0.81:8,357,534,1090;sink:0.47:2,638,179,736"
336,path clear,near,far,"oven:0.81:10,359,529,1096;microwave:0.80:534,344,769,481;sink:0.46:1,641,179,742"
337,path clear,near,far,"oven:0.85:13,360,527,1099;microwave:0.85:532,343,767,481;sink:0.45:1,646,167,742"
338,path clear,near,far,"microwave:0.86:525,340,766,483;oven:0.77:3,359,528,1103;sink:0.48:1,650,162,741"
339,path clear,near,far,"microwave:0.86:524,345,767,483;oven:0.77:9,360,523,1107;sink:0.53:1,653,163,741"
340,path clear,near,far,"microwave:0.85:527,348,761,485;oven:0.62:9,362,521,1113;sink:0.47:2,658,157,740"
341,path clear,near,far,"microwave:0.85:517,343,755,486;oven:0.64:63,483,516,1113;sink:0.41:1,660,151,745"
342,path clear,near,far,"microwave:0.83:519,352,752,487;oven:0.65:35,460,515,1120"
343,path clear,near,far,"microwave:0.76:517,350,751,490;oven:0.69:31,424,511,1125;sink:0.43:1,666,139,748"
344,path clear,near,far,"oven:0.81:7,360,501,1128;microwave:0.77:505,346,748,490;sink:0.41:1,666,136,744"
345,path clear,near,far,"microwave:0.74:498,343,755,491;oven:0.72:7,360,503,1130;sink:0.41:1,669,123,740"
346,path clear,near,far,"microwave:0.81:495,346,746,490;oven:0.75:9,366,500,1136;sink:0.52:1,670,121,742"
347,path clear,near,far,"microwave:0.79:489,342,744,490;oven:0.74:4,360,493,1138"
348,path clear,near,far,"microwave:0.83:492,351,732,488;oven:0.76:3,361,493,1140"
349,path clear,near,far,"microwave:0.84:478,339,728,489;oven:0.71:2,368,484,1145"
350,path clear,near,far,"microwave:0.82:477,342,723,491;oven:0.71:1,372,480,1147"
351,path clear,near,far,"microwave:0.82:474,347,720,489;oven:0.67:2,434,478,1150"
352,path clear,near,far,"microwave:0.84:470,351,713,489;oven:0.61:4,486,471,1151"
353,path clear,near,far,"microwave:0.81:474,351,707,489;oven:0.61:3,463,471,1153"
354,path clear,near,far,"microwave:0.82:459,346,704,489;oven:0.61:0,447,465,1158"
355,path clear,near,far,"microwave:0.78:454,346,702,490;oven:0.53:10,435,460,1160"
356,path clear,near,far,"microwave:0.75:449,347,697,492;oven:0.57:9,432,456,1161"
357,path clear,near,far,"microwave:0.82:442,347,695,495;oven:0.53:7,467,445,1166"
358,path clear,near,far,"microwave:0.79:439,345,699,496;oven:0.54:0,488,439,1171"
359,path clear,near,far,"microwave:0.85:432,342,691,499;oven:0.69:6,493,436,1176"
360,path clear,near,far,"microwave:0.83:433,350,682,500;oven:0.63:8,472,438,1188"
361,path clear,near,far,"microwave:0.87:427,340,681,499;oven:0.67:9,487,434,1188"
362,path clear,near,far,"microwave:0.85:425,348,679,502;oven:0.73:0,384,432,1189"
363,path clear,near,far,"microwave:0.85:426,354,679,504;oven:0.74:0,383,432,1190"
364,path clear,near,far,"microwave:0.87:430,363,679,506;oven:0.75:0,386,431,1202"
365,path clear,near,far,"microwave:0.83:431,372,673,510;oven:0.70:0,395,427,1208"
366,path clear,near,far,"microwave:0.90:428,369,673,511;oven:0.81:0,398,425,1214"
367,path clear,near,far,"microwave:0.87:420,373,672,515;oven:0.83:0,401,427,1218"
368,path clear,near,far,"microwave:0.87:413,358,670,515;oven:0.70:0,392,426,1222"
369,path clear,near,far,"microwave:0.86:412,362,669,516;oven:0.50:19,546,420,1232"
370,path clear,near,far,"microwave:0.84:413,364,670,519;oven:0.58:1,440,420,1235"
371,path clear,near,far,"microwave:0.83:402,356,669,517;oven:0.54:27,546,417,1239"
372,path clear,near,far,"microwave:0.84:414,370,670,521;oven:0.62:8,450,418,1242"
373,path clear,near,far,"microwave:0.84:411,375,670,522;oven:0.60:34,552,419,1246"
374,path clear,near,far,"microwave:0.85:414,375,661,522;oven:0.62:44,553,416,1251"
375,path clear,near,far,"microwave:0.87:414,375,658,522;oven:0.64:38,556,416,1255"
376,path clear,near,far,"microwave:0.86:412,376,656,522;oven:0.60:37,541,410,1257"
377,path clear,near,far,"microwave:0.85:419,378,656,523;oven:0.60:21,524,405,1261"
378,path clear,near,far,"microwave:0.84:414,379,654,524;oven:0.65:22,542,399,1267"
379,path clear,near,far,"microwave:0.82:407,380,653,526;oven:0.73:21,550,398,1270"
380,path clear,near,far,"microwave:0.85:398,376,651,526;oven:0.72:16,549,396,1277"
381,path clear,near,far,"microwave:0.82:388,366,650,526;oven:0.67:16,537,393,1281"
382,path clear,near,far,"microwave:0.80:397,376,649,526;oven:0.59:16,548,390,1284"
383,path clear,near,far,"microwave:0.79:402,379,646,526;oven:0.51:15,551,386,1287"
384,path clear,near,far,"microwave:0.79:393,382,648,526;oven:0.65:8,552,385,1292"
385,path clear,near,far,"microwave:0.83:382,380,643,527;oven:0.70:7,545,385,1295"
386,path clear,near,far,"microwave:0.81:387,382,641,526;oven:0.77:5,560,383,1297"
387,path clear,near,near,"microwave:0.85:394,383,639,527;oven:0.73:6,558,384,1299;refrigerator:0.41:675,0,1072,990"
388,path clear,near,far,"microwave:0.82:391,381,641,527;oven:0.68:4,562,383,1305"
389,path clear,near,near,"microwave:0.80:362,367,639,526;oven:0.75:5,563,380,1304;refrigerator:0.45:670,0,1072,994"
390,path clear,near,far,"microwave:0.85:355,356,640,526;oven:0.75:6,566,378,1309"
391,path clear,near,far,"microwave:0.85:353,355,637,528;oven:0.78:5,560,376,1317"
392,path clear,near,far,"microwave:0.77:351,361,638,529;oven:0.77:3,571,372,1317"
393,path clear,near,far,"microwave:0.78:357,375,630,528;oven:0.78:3,573,371,1319"
394,path clear,near,far,"microwave:0.80:350,373,629,528;oven:0.77:0,573,372,1324"
395,path clear,near,far,"microwave:0.84:349,374,627,527;oven:0.77:0,576,370,1328"
396,path clear,near,far,"microwave:0.86:362,377,623,527;oven:0.73:1,574,363,1335"
397,path clear,near,far,"microwave:0.88:365,377,620,528;oven:0.69:2,566,361,1339"
398,path clear,near,far,"microwave:0.85:354,376,621,531;oven:0.72:0,577,362,1342"
399,path clear,near,far,"microwave:0.86:345,374,618,532;oven:0.74:0,576,354,1350"
400,path clear,near,far,"microwave:0.88:343,375,617,533;oven:0.80:0,584,348,1356"
401,path clear,near,far,"microwave:0.89:347,379,614,535;oven:0.83:0,583,347,1355"
402,path clear,near,far,"microwave:0.84:349,381,609,535;oven:0.80:0,590,342,1362"
403,path clear,near,far,"oven:0.81:1,593,341,1366;microwave:0.77:319,366,612,540"
404,path clear,near,far,"oven:0.77:1,595,340,1371;microwave:0.72:353,383,606,542"
405,path clear,near,far,"oven:0.78:0,596,343,1376;microwave:0.71:339,380,604,540"
406,path clear,near,far,"oven:0.79:0,596,336,1382;microwave:0.69:340,384,602,541"
407,path clear,near,far,"microwave:0.76:327,382,599,543;oven:0.75:0,596,329,1388"
408,path clear,near,far,"oven:0.77:1,599,327,1398;microwave:0.70:312,383,599,544"
409,path clear,near,far,"microwave:0.80:318,382,594,547;oven:0.75:2,602,325,1401"
410,path clear,near,far,"microwave:0.80:308,382,592,549;oven:0.76:2,602,325,1405"
411,path clear,near,far,"microwave:0.81:319,386,586,550;oven:0.77:0,600,314,1410"
412,path clear,near,far,"oven:0.82:0,601,313,1420;microwave:0.73:315,386,586,550"
413,path clear,near,far,"oven:0.79:0,603,309,1428;microwave:0.75:315,386,584,551"
414,path clear,near,far,"oven:0.80:0,605,305,1433;microwave:0.79:294,379,586,552"
415,path clear,near,far,"oven:0.76:0,610,299,1438;microwave:0.72:301,386,582,552"
416,path clear,near,far,"oven:0.80:2,612,298,1444;microwave:0.72:303,382,581,554"
417,path clear,near,far,"oven:0.82:0,613,296,1452;microwave:0.71:305,390,577,554"
418,path clear,near,clear,"oven:0.80:0,613,294,1455;microwave:0.70:271,379,582,555"
419,path clear,near,clear,"oven:0.80:2,614,294,1460;microwave:0.71:272,385,575,555"
420,path clear,near,clear,"oven:0.75:5,614,292,1464;microwave:0.75:276,384,571,554"
421,path clear,near,clear,"oven:0.81:2,611,289,1468;microwave:0.78:260,373,569,552"
422,path clear,near,clear,"microwave:0.85:257,359,565,552;oven:0.76:6,615,284,1469"
423,path clear,near,clear,"microwave:0.89:253,356,564,547;oven:0.71:13,617,283,1475"
424,path clear,near,clear,"microwave:0.89:247,357,563,544;oven:0.71:7,619,280,1477"
425,path clear,near,near,"microwave:0.90:248,367,557,541;oven:0.66:8,616,277,1478;refrigerator:0.43:605,0,1070,1049"
426,path clear,near,clear,"microwave:0.86:246,360,557,537;oven:0.74:6,608,277,1478"
